indicator,signal,horizon,direction,n_stocks,total_signals,avg_return,median_return,avg_win_rate,avg_t_stat,pct_stocks_positive
trend_macd_diff,P80_short,fwd_1d,short,213,111781,0.06119577464788733,0.0628,51.275774647887324,0.7136666666666667,79.34272300469483
trend_macd_diff,P80_short,fwd_2d,short,213,111781,0.12221455399061033,0.1294,52.372394366197184,1.0386431924882629,78.87323943661971
trend_macd_diff,P80_short,fwd_3d,short,213,111781,0.19636760563380284,0.1912,53.32051643192489,1.3865446009389673,80.75117370892019
trend_macd_diff,P80_short,fwd_5d,short,213,111781,0.3728774647887324,0.3385,54.638403755868545,2.0199107981220656,85.44600938967136
trend_macd_diff,P90_short,fwd_1d,short,213,55895,0.043137089201877934,0.045,50.582206572769955,0.3544178403755869,67.13615023474179
trend_macd_diff,P90_short,fwd_2d,short,213,55895,0.09455352112676056,0.1014,51.7550234741784,0.5645915492957746,66.19718309859155
trend_macd_diff,P90_short,fwd_3d,short,213,55895,0.16855352112676056,0.157,52.648638497652584,0.8194835680751175,68.54460093896714
trend_macd_diff,P90_short,fwd_5d,short,213,55895,0.3663619718309859,0.3305,54.38427230046948,1.3760657276995305,76.99530516431925
trend_macd_signal,P10_long,fwd_1d,long,213,55895,0.11168309859154929,0.1219,52.15910798122066,0.7123145539906104,87.32394366197182
trend_macd_signal,P10_long,fwd_2d,long,213,55895,0.2113774647887324,0.2224,53.793661971830986,1.0515539906103286,87.79342723004694
trend_macd_signal,P10_long,fwd_3d,long,213,55895,0.32225023474178405,0.3582,54.526525821596245,1.2969389671361502,88.73239436619718
trend_macd_signal,P10_long,fwd_5d,long,213,55895,0.5318215962441314,0.6133,55.77230046948357,1.7422910798122067,87.32394366197182
trend_macd_signal,P20_long,fwd_1d,long,213,111781,0.09474366197183098,0.0967,52.22075117370892,0.9379154929577466,89.67136150234741
trend_macd_signal,P20_long,fwd_2d,long,213,111781,0.18305211267605634,0.1845,53.61934272300469,1.3840845070422536,88.26291079812206
trend_macd_signal,P20_long,fwd_3d,long,213,111781,0.2795492957746479,0.2878,54.472863849765254,1.7073661971830985,89.67136150234741
trend_macd_signal,P20_long,fwd_5d,long,213,111781,0.45822769953051645,0.4928,55.703943661971834,2.269488262910798,90.14084507042254
trend_macd_signal,P80_short,fwd_1d,short,213,111781,0.027248356807511736,0.0141,51.31333333333333,0.27985915492957747,64.7887323943662
trend_macd_signal,P80_short,fwd_2d,short,213,111781,0.05227230046948357,0.0294,51.858122065727706,0.3681924882629108,59.154929577464785
trend_macd_signal,P80_short,fwd_3d,short,213,111781,0.07685117370892018,0.0403,52.0331455399061,0.44635680751173706,63.38028169014085
trend_macd_signal,P80_short,fwd_5d,short,213,111781,0.12877276995305165,0.0695,52.32544600938967,0.590093896713615,63.84976525821596
trend_macd_signal,P90_short,fwd_1d,short,213,55895,-0.004715023474178403,-0.0047,50.54394366197183,-0.07718779342723005,46.009389671361504
trend_macd_signal,P90_short,fwd_2d,short,213,55895,-0.010999061032863848,-0.0182,50.7430985915493,-0.1271549295774648,44.13145539906103
trend_macd_signal,P90_short,fwd_3d,short,213,55895,-0.020045070422535213,-0.0293,50.666666666666664,-0.17107981220657276,44.13145539906103
trend_macd_signal,P90_short,fwd_5d,short,213,55895,-0.02885446009389671,-0.0488,50.568356807511734,-0.20776525821596242,42.72300469483568
trend_mass_index,P10_long,fwd_1d,long,213,55895,0.10175586854460093,0.0831,51.84807511737089,0.7892769953051643,81.2206572769953
trend_mass_index,P10_long,fwd_2d,long,213,55895,0.1994281690140845,0.1685,53.25816901408451,1.10256338028169,82.15962441314554
trend_mass_index,P10_long,fwd_3d,long,213,55895,0.29244225352112674,0.2379,53.44530516431925,1.3145023474178403,81.69014084507043
trend_mass_index,P10_long,fwd_5d,long,213,55895,0.4648929577464789,0.3674,54.308169014084505,1.6500892018779343,83.09859154929578
trend_mass_index,P20_long,fwd_1d,long,213,111781,0.07180985915492959,0.0657,51.583990610328634,0.9211408450704226,86.85446009389672
trend_mass_index,P20_long,fwd_2d,long,213,111781,0.1437507042253521,0.1285,52.78225352112676,1.3054929577464789,88.26291079812206
trend_mass_index,P20_long,fwd_3d,long,213,111781,0.21775727699530517,0.1907,53.316572769953055,1.5955586854460093,88.26291079812206
trend_mass_index,P20_long,fwd_5d,long,213,111781,0.35790704225352116,0.3082,54.058873239436615,2.0216760563380283,88.73239436619718
trend_mass_index,P80_short,fwd_1d,short,213,111781,0.1007150234741784,0.0935,53.122394366197184,0.9069389671361502,89.2018779342723
trend_mass_index,P80_short,fwd_2d,short,213,111781,0.19987605633802816,0.1868,54.76,1.3542769953051643,90.61032863849765
trend_mass_index,P80_short,fwd_3d,short,213,111781,0.2980403755868545,0.2662,55.54723004694836,1.6416197183098593,90.61032863849765
