indicator,signal,threshold,n_signals,horizon,avg_return_pct,win_rate,t_stat,direction,ticker
volatility_bbw,P80_short,15.308,554,fwd_2d,0.3151,57.4,2.529,short,AAPL
volatility_bbw,P80_short,15.308,554,fwd_3d,0.4632,58.12,3.148,short,AAPL
volatility_bbw,P80_short,15.308,554,fwd_5d,0.68,60.11,3.694,short,AAPL
volatility_bbw,P90_short,18.2162,277,fwd_1d,0.1783,51.26,1.053,short,AAPL
volatility_bbw,P90_short,18.2162,277,fwd_2d,0.2572,58.48,1.297,short,AAPL
volatility_bbw,P90_short,18.2162,277,fwd_3d,0.3597,57.4,1.509,short,AAPL
volatility_bbw,P90_short,18.2162,277,fwd_5d,0.6313,58.12,2.195,short,AAPL
volatility_bbp,P10_long,0.1153,277,fwd_1d,0.204,53.43,1.333,long,AAPL
volatility_bbp,P10_long,0.1153,277,fwd_2d,0.2804,54.87,1.442,long,AAPL
volatility_bbp,P10_long,0.1153,277,fwd_3d,0.4221,54.15,1.804,long,AAPL
volatility_bbp,P10_long,0.1153,277,fwd_5d,0.4266,51.62,1.527,long,AAPL
volatility_bbp,P20_long,0.2495,554,fwd_1d,0.1194,53.43,1.231,long,AAPL
volatility_bbp,P20_long,0.2495,554,fwd_2d,0.1719,54.51,1.36,long,AAPL
volatility_bbp,P20_long,0.2495,554,fwd_3d,0.2485,55.05,1.629,long,AAPL
volatility_bbp,P20_long,0.2495,554,fwd_5d,0.2839,53.07,1.535,long,AAPL
volatility_bbp,P80_short,0.9004,554,fwd_1d,0.1256,53.79,2.33,short,AAPL
volatility_bbp,P80_short,0.9004,554,fwd_2d,0.1844,57.4,2.37,short,AAPL
volatility_bbp,P80_short,0.9004,554,fwd_3d,0.283,59.21,2.915,short,AAPL
volatility_bbp,P80_short,0.9004,554,fwd_5d,0.6266,63.59,5.148,short,AAPL
volatility_bbp,P90_short,0.9754,277,fwd_1d,0.1329,51.62,1.655,short,AAPL
volatility_bbp,P90_short,0.9754,277,fwd_2d,0.1819,57.76,1.638,short,AAPL
volatility_bbp,P90_short,0.9754,277,fwd_3d,0.2448,57.76,1.739,short,AAPL
volatility_bbp,P90_short,0.9754,277,fwd_5d,0.4575,62.82,2.695,short,AAPL
volatility_bbhi,P80_short,0.0,220,fwd_1d,0.11,51.36,1.235,short,AAPL
volatility_bbhi,P80_short,0.0,220,fwd_2d,0.1468,55.91,1.174,short,AAPL
volatility_bbhi,P80_short,0.0,220,fwd_3d,0.1833,57.73,1.176,short,AAPL
volatility_bbhi,P80_short,0.0,220,fwd_5d,0.4928,64.09,2.563,short,AAPL
volatility_bbhi,P90_short,0.0,220,fwd_1d,0.11,51.36,1.235,short,AAPL
volatility_bbhi,P90_short,0.0,220,fwd_2d,0.1468,55.91,1.174,short,AAPL
volatility_bbhi,P90_short,0.0,220,fwd_3d,0.1833,57.73,1.176,short,AAPL
volatility_bbhi,P90_short,0.0,220,fwd_5d,0.4928,64.09,2.563,short,AAPL
volatility_bbli,P80_short,0.0,130,fwd_1d,0.1428,47.69,0.631,short,AAPL
volatility_bbli,P80_short,0.0,130,fwd_2d,0.5202,56.92,1.881,short,AAPL
volatility_bbli,P80_short,0.0,130,fwd_3d,0.7719,61.54,2.422,short,AAPL
volatility_bbli,P80_short,0.0,130,fwd_5d,0.6621,53.85,1.699,short,AAPL
volatility_bbli,P90_short,0.0,130,fwd_1d,0.1428,47.69,0.631,short,AAPL
volatility_bbli,P90_short,0.0,130,fwd_2d,0.5202,56.92,1.881,short,AAPL
volatility_bbli,P90_short,0.0,130,fwd_3d,0.7719,61.54,2.422,short,AAPL
volatility_bbli,P90_short,0.0,130,fwd_5d,0.6621,53.85,1.699,short,AAPL
volatility_kcc,P10_long,108.8281,277,fwd_1d,0.1404,55.23,1.561,long,AAPL
volatility_kcc,P10_long,108.8281,277,fwd_2d,0.2824,56.68,2.159,long,AAPL
volatility_kcc,P10_long,108.8281,277,fwd_3d,0.4393,59.93,2.72,long,AAPL
volatility_kcc,P10_long,108.8281,277,fwd_5d,0.8171,60.29,4.137,long,AAPL
volatility_kcc,P20_long,118.0521,554,fwd_1d,0.1202,53.25,1.742,long,AAPL
volatility_kcc,P20_long,118.0521,554,fwd_2d,0.2336,55.42,2.384,long,AAPL
volatility_kcc,P20_long,118.0521,554,fwd_3d,0.3545,57.58,2.994,long,AAPL
volatility_kcc,P20_long,118.0521,554,fwd_5d,0.5677,57.58,3.873,long,AAPL
volatility_kcc,P80_short,211.2926,554,fwd_1d,0.2114,58.05,2.3,short,AAPL
volatility_kcc,P80_short,211.2926,554,fwd_2d,0.4099,60.33,3.516,short,AAPL
volatility_kcc,P80_short,211.2926,554,fwd_3d,0.6116,64.25,4.279,short,AAPL
volatility_kcc,P80_short,211.2926,554,fwd_5d,0.999,64.85,5.511,short,AAPL
volatility_kcc,P90_short,267.7207,277,fwd_1d,0.2302,56.68,1.544,short,AAPL
volatility_kcc,P90_short,267.7207,277,fwd_2d,0.4457,59.93,2.446,short,AAPL
volatility_kcc,P90_short,267.7207,277,fwd_3d,0.6525,64.26,2.868,short,AAPL
volatility_kcc,P90_short,267.7207,277,fwd_5d,1.0852,67.51,3.634,short,AAPL
volatility_kch,P10_long,111.0276,277,fwd_1d,0.1288,54.87,1.441,long,AAPL
volatility_kch,P10_long,111.0276,277,fwd_2d,0.2693,56.32,2.065,long,AAPL
volatility_kch,P10_long,111.0276,277,fwd_3d,0.4308,59.93,2.682,long,AAPL
volatility_kch,P10_long,111.0276,277,fwd_5d,0.7779,60.29,3.889,long,AAPL
volatility_kch,P20_long,120.5947,554,fwd_1d,0.1397,53.79,2.05,long,AAPL
volatility_kch,P20_long,120.5947,554,fwd_2d,0.2613,56.14,2.684,long,AAPL
volatility_kch,P20_long,120.5947,554,fwd_3d,0.3834,58.12,3.258,long,AAPL
volatility_kch,P20_long,120.5947,554,fwd_5d,0.6212,58.48,4.253,long,AAPL
volatility_kch,P80_short,215.8034,554,fwd_1d,0.1991,57.87,2.153,short,AAPL
volatility_kch,P80_short,215.8034,554,fwd_2d,0.392,60.14,3.326,short,AAPL
volatility_kch,P80_short,215.8034,554,fwd_3d,0.584,64.07,4.036,short,AAPL
volatility_kch,P80_short,215.8034,554,fwd_5d,0.9678,64.66,5.308,short,AAPL
volatility_kch,P90_short,275.4917,277,fwd_1d,0.2047,56.32,1.355,short,AAPL
volatility_kch,P90_short,275.4917,277,fwd_2d,0.3907,59.93,2.091,short,AAPL
volatility_kch,P90_short,275.4917,277,fwd_3d,0.624,64.26,2.712,short,AAPL
volatility_kch,P90_short,275.4917,277,fwd_5d,1.0934,67.15,3.655,short,AAPL
volatility_kcl,P10_long,106.5792,277,fwd_1d,0.1746,55.96,1.833,long,AAPL
volatility_kcl,P10_long,106.5792,277,fwd_2d,0.3286,58.48,2.432,long,AAPL
volatility_kcl,P10_long,106.5792,277,fwd_3d,0.5099,61.73,3.168,long,AAPL
volatility_kcl,P10_long,106.5792,277,fwd_5d,0.9364,62.09,4.808,long,AAPL
volatility_kcl,P20_long,115.6399,554,fwd_1d,0.1163,53.61,1.684,long,AAPL
volatility_kcl,P20_long,115.6399,554,fwd_2d,0.2275,55.42,2.314,long,AAPL
